vac_uid,vac_id,vac_file_id,vac_vdab_id,vac_creation_date,vac_website
5_adm-emp_exp0,5,adm-emp_exp0,66421792,2023-03-23,https://www.vdab.be/vindeenjob/vacatures/66421792/administratief-medewerker-nederlands-frans
9_adm-emp_exp0,9,adm-emp_exp0,66364714,2023-03-14,https://www.vdab.be/vindeenjob/vacatures/66364714/administratief-medewerker-viessmann
14_adm-emp_exp0,14,adm-emp_exp0,65713359,2022-11-16,https://www.vdab.be/vindeenjob/vacatures/65713359/planner-logistiek
16_adm-emp_exp0,16,adm-emp_exp0,66392755,2023-03-20,https://www.vdab.be/vindeenjob/vacatures/66392755/secretariaatsmedewerker-m-v-x
18_adm-emp_exp0,18,adm-emp_exp0,66305615,2023-03-03,https://www.vdab.be/vindeenjob/vacatures/66305615/allround-administratief-bediende-heist-op-den-berg-voltijds
20_adm-emp_exp0,20,adm-emp_exp0,66126800,2023-02-02,https://www.vdab.be/vindeenjob/vacatures/66126800/stagiair-credit-revenu
23_adm-emp_exp0,23,adm-emp_exp0,66396690,2023-03-20,https://www.vdab.be/vindeenjob/vacatures/66396690/medewerker-commerciele-binnendienst
25_adm-emp_exp0,25,adm-emp_exp0,66290825,2023-03-02,https://www.vdab.be/vindeenjob/vacatures/66290825/administratief-medewerker
27_adm-emp_exp0,27,adm-emp_exp0,66364321,2023-03-14,https://www.vdab.be/vindeenjob/vacatures/66364321/administratief-boekhoudkundig-bediende
34_adm-emp_exp0,34,adm-emp_exp0,66465823,2023-03-31,https://www.vdab.be/vindeenjob/vacatures/66465823/administratief-commercieel-bediende
39_adm-emp_exp0,39,adm-emp_exp0,66448148,2023-03-29,https://www.vdab.be/vindeenjob/vacatures/66448148/dossierbeheerder
40_adm-emp_exp0,40,adm-emp_exp0,66409474,2023-03-22,https://www.vdab.be/vindeenjob/vacatures/66409474/stafmedewerker-zorg-applicatiebeheerder
42_adm-emp_exp0,42,adm-emp_exp0,65962175,2023-01-03,https://www.vdab.be/vindeenjob/vacatures/65962175/administratief-bediende
45_adm-emp_exp0,45,adm-emp_exp0,66410214,2023-03-22,https://www.vdab.be/vindeenjob/vacatures/66410214/duitstalige-inside-sales
46_adm-emp_exp0,46,adm-emp_exp0,66315073,2023-03-06,https://www.vdab.be/vindeenjob/vacatures/66315073/customer-service-officer-onmiddellijk-vast-contract
48_adm-emp_exp0,48,adm-emp_exp0,66384470,2023-03-17,https://www.vdab.be/vindeenjob/vacatures/66384470/dossierbeheerder-m-v-x-dienst-toelaatbaarheid-rva-turnhout
57_adm-emp_exp0,57,adm-emp_exp0,66426208,2023-03-24,https://www.vdab.be/vindeenjob/vacatures/66426208/administratief-bediende
61_adm-emp_exp0,61,adm-emp_exp0,66408165,2023-03-21,https://www.vdab.be/vindeenjob/vacatures/66408165/administratief-medewerker
68_adm-emp_exp0,68,adm-emp_exp0,66418144,2023-03-23,https://www.vdab.be/vindeenjob/vacatures/66418144/tender-officer-vast-contract
69_adm-emp_exp0,69,adm-emp_exp0,65867318,2022-12-13,https://www.vdab.be/vindeenjob/vacatures/65867318/administratief-bediende-klantenbeheer
